record_id,country_code,country_name,region,income_level,date,year,month,week,latitude,longitude,population_millions,temperature_celsius,temp_anomaly_celsius,precipitation_mm,heat_wave_days,drought_indicator,flood_indicator,extreme_weather_events,pm25_ugm3,air_quality_index,respiratory_disease_rate,cardio_mortality_rate,vector_disease_risk_score,waterborne_disease_incidents,heat_related_admissions,healthcare_access_index,gdp_per_capita_usd,mental_health_index,food_security_index,vector_disease_risk_score_log,month_sin,month_cos,heat_stress,pollution_burden,any_extreme_event,health_vulnerability
14,USA,United States,North America,High,05-04-2015,2015,4,14,37.09,-95.71,331,13.64,-0.13,201.5,0,0,0,0,0,7,47.8,32.9,6.4,18.1,17.6,85.1,63945,62.4,97.5,2.00148,0.866025404,-0.5,0,0,0,47.7
15,USA,United States,North America,High,12-04-2015,2015,4,15,37.09,-95.71,331,11.04,-0.62,124.5,0,0,0,0,44.7,71,55.3,32.2,5.2,22.9,21.9,85.2,63945,65.2,100,1.824549292,0.866025404,-0.5,0,14795.7,0,50.9
16,USA,United States,North America,High,19-04-2015,2015,4,16,37.09,-95.71,331,9.17,0.16,125.9,1,0,0,1,70.8,106,86.5,37.2,5.7,19.4,15.1,79.9,63945,62,100,1.902107526,0.866025404,-0.5,9.17,23434.8,1,61.9
17,USA,United States,North America,High,26-04-2015,2015,4,17,37.09,-95.71,331,9.96,-0.26,62.8,0,0,0,0,56.4,77,77.8,29,1.8,14.9,17.8,82.6,63945,66.3,100,1.029619417,0.866025404,-0.5,0,18668.4,0,57.7
18,USA,United States,North America,High,03-05-2015,2015,5,18,37.09,-95.71,331,8.29,1.08,133.2,2,0,0,2,59.6,80,67.4,30.1,2.7,26.8,25.4,77.7,64051,67.4,100,1.30833282,0.5,-0.866025404,16.58,19727.6,1,54.96666667
19,USA,United States,North America,High,10-05-2015,2015,5,19,37.09,-95.71,331,10.93,0.64,122.7,1,0,0,1,76.7,104,62.2,33.5,10.6,18.4,19.7,76.5,64051,63,99.2,2.451005098,0.5,-0.866025404,10.93,25387.7,1,52.9
20,USA,United States,North America,High,17-05-2015,2015,5,20,37.09,-95.71,331,5.8,0.78,147.9,0,0,0,0,27.2,34,58.7,45.6,6.2,23.1,5.1,82.9,64051,70.3,100,1.974081026,0.5,-0.866025404,0,9003.2,0,58.2
21,USA,United States,North America,High,24-05-2015,2015,5,21,37.09,-95.71,331,3.88,0.65,86.2,0,0,0,0,95.6,154,79.4,35.4,4.7,16.1,3.3,80.6,64051,74.4,97.4,1.740466175,0.5,-0.866025404,0,31643.6,0,63.06666667
22,USA,United States,North America,High,31-05-2015,2015,5,22,37.09,-95.71,331,6.17,0.48,144.2,0,0,0,0,40.2,69,55.8,36.8,6.7,15,0,86,64051,63.9,96.4,2.041220329,0.5,-0.866025404,0,13306.2,0,52.16666667
23,USA,United States,North America,High,07-06-2015,2015,6,23,37.09,-95.71,331,9.14,-0.21,84.1,1,0,0,1,49.7,67,76.4,29.3,7.6,17.1,17.7,77.1,64157,79.1,100,2.151762203,1.22E-16,-1,9.14,16450.7,1,61.6
24,USA,United States,North America,High,14-06-2015,2015,6,24,37.09,-95.71,331,4.24,0.61,56,0,0,0,0,68.1,112,63.4,33,0,27.4,1.4,86.6,64157,74,100,0,1.22E-16,-1,0,22541.1,0,56.8
25,USA,United States,North America,High,21-06-2015,2015,6,25,37.09,-95.71,331,3.33,0.11,104,0,0,0,0,61,109,63.5,27.2,9.1,8.3,9,80.4,64157,68.5,99.7,2.312535424,1.22E-16,-1,0,20191,0,53.06666667
26,USA,United States,North America,High,28-06-2015,2015,6,26,37.09,-95.71,331,3.14,0.65,105.5,0,0,0,0,51.2,78,50.9,29,4,20.8,1.1,82.7,64157,74.9,100,1.609437912,1.22E-16,-1,0,16947.2,0,51.6
27,USA,United States,North America,High,05-07-2015,2015,7,27,37.09,-95.71,331,6.83,0.21,64.6,0,0,0,0,93.6,158,96.2,30.5,7.9,11.2,12.1,85.6,64263,69.2,93,2.186051277,-0.5,-0.866025404,0,30981.6,0,65.3
28,USA,United States,North America,High,12-07-2015,2015,7,28,37.09,-95.71,331,-2.3,-0.94,83.7,0,0,0,0,57.5,101,74.7,32.7,7.1,17.8,0,79.2,64263,68.6,100,2.091864062,-0.5,-0.866025404,0,19032.5,0,58.66666667
29,USA,United States,North America,High,19-07-2015,2015,7,29,37.09,-95.71,331,1.07,-0.03,76.4,0,0,0,0,51.7,41,56.5,29.3,4.8,19.8,0,81.6,64263,77.6,100,1.757857918,-0.5,-0.866025404,0,17112.7,0,54.46666667
30,USA,United States,North America,High,26-07-2015,2015,7,30,37.09,-95.71,331,-3.72,-0.67,79.7,0,0,0,0,70.6,129,62.9,25.1,5.7,28.7,0,86,64263,77.8,100,1.902107526,-0.5,-0.866025404,0,23368.6,0,55.26666667
31,USA,United States,North America,High,02-08-2015,2015,8,31,37.09,-95.71,331,0.68,0.1,28.7,0,1,0,1,47.5,81,77.9,25.7,7.1,23.8,0,81.7,64368,61.1,74.6,2.091864062,-0.866025404,-0.5,0,15722.5,1,54.9
32,USA,United States,North America,High,09-08-2015,2015,8,32,37.09,-95.71,331,-0.73,0.76,57.6,0,0,0,0,89.2,113,59.7,33.5,6.2,18.3,0,84.5,64368,69.6,93.2,1.974081026,-0.866025404,-0.5,0,29525.2,0,54.26666667
33,USA,United States,North America,High,16-08-2015,2015,8,33,37.09,-95.71,331,-2.15,-0.46,36.4,0,0,0,0,26.2,38,67.4,22.8,6.5,15.9,0,80.8,64368,69.5,94.6,2.014903021,-0.866025404,-0.5,0,8672.2,0,53.23333333
34,USA,United States,North America,High,23-08-2015,2015,8,34,37.09,-95.71,331,-5.92,1,49.6,0,0,0,0,32.6,52,58.7,33.9,6.8,22.3,0,75.6,64368,67.1,98.4,2.054123734,-0.866025404,-0.5,0,10790.6,0,53.23333333
35,USA,United States,North America,High,30-08-2015,2015,8,35,37.09,-95.71,331,-7.11,0.7,95.2,0,0,0,0,34.7,61,63.5,48.9,8.4,17.9,0,80.2,64368,62,100,2.240709689,-0.866025404,-0.5,0,11485.7,0,58.13333333
36,USA,United States,North America,High,06-09-2015,2015,9,36,37.09,-95.71,331,-7.37,-0.31,11.1,0,0,0,0,63.2,109,79.5,31.7,2.4,18.5,0,87.2,64474,75.1,97.5,1.223775432,-1,-1.84E-16,0,20919.2,0,62.1
37,USA,United States,North America,High,13-09-2015,2015,9,37,37.09,-95.71,331,-5.64,-0.32,83.7,0,0,0,0,10.5,95,62.6,28.5,5.4,16.7,0,81.3,64474,67.7,96.6,1.85629799,-1,-1.84E-16,0,3475.5,0,52.93333333
38,USA,United States,North America,High,20-09-2015,2015,9,38,37.09,-95.71,331,-5.93,-0.4,24.3,0,0,0,0,56.3,72,69.6,27.8,4.3,14,0,79.6,64474,73.8,100,1.667706821,-1,-1.84E-16,0,18635.3,0,57.06666667
39,USA,United States,North America,High,27-09-2015,2015,9,39,37.09,-95.71,331,-5.02,0.39,0,0,0,0,0,73.6,102,62.1,33.4,0,16.2,0,79.1,64474,62.4,100,0,-1,-1.84E-16,0,24361.6,0,52.63333333
40,USA,United States,North America,High,04-10-2015,2015,10,40,37.09,-95.71,331,-4.69,1.41,0,0,1,0,1,38.5,52,71.6,34.2,7.5,12.9,0,80.1,64580,74.2,72.4,2.140066163,-0.866025404,0.5,0,12743.5,1,60
41,USA,United States,North America,High,11-10-2015,2015,10,41,37.09,-95.71,331,-3.96,-0.08,51.8,0,0,0,0,34.5,53,58.8,35.4,5.8,20.2,0,83.7,64580,67.6,97.6,1.916922612,-0.866025404,0.5,0,11419.5,0,53.93333333
42,USA,United States,North America,High,18-10-2015,2015,10,42,37.09,-95.71,331,-5.73,0.16,104,0,0,0,0,61,87,80.3,28.8,0,13.5,0,87.5,64580,68.2,99.8,0,-0.866025404,0.5,0,20191,0,59.1
43,USA,United States,North America,High,25-10-2015,2015,10,43,37.09,-95.71,331,-3.9,-0.09,68.3,0,0,0,0,0,4,57.7,22.1,8.4,20.2,0,83,64580,73.2,100,2.240709689,-0.866025404,0.5,0,0,0,51
44,USA,United States,North America,High,01-11-2015,2015,11,44,37.09,-95.71,331,-3.61,-0.21,20.2,0,0,0,0,93.7,147,74.6,33.1,8.9,16.3,0,85.4,64686,67.2,100,2.292534757,-0.5,0.866025404,0,31014.7,0,58.3
45,USA,United States,North America,High,08-11-2015,2015,11,45,37.09,-95.71,331,-0.79,0.52,0,0,0,0,0,67,74,85.1,35.9,4.8,19.9,0,82.8,64686,82.2,100,1.757857918,-0.5,0.866025404,0,22177,0,67.73333333
46,USA,United States,North America,High,15-11-2015,2015,11,46,37.09,-95.71,331,-1.48,0.26,58.3,0,0,0,0,28.6,50,77.4,38,9.8,15.9,0,85.8,64686,69.4,100,2.379546134,-0.5,0.866025404,0,9466.6,0,61.6
47,USA,United States,North America,High,22-11-2015,2015,11,47,37.09,-95.71,331,-5.6,0.78,50.4,0,0,0,0,39.3,44,45.2,38,5.2,12.1,0,81.7,64686,68.3,100,1.824549292,-0.5,0.866025404,0,13008.3,0,50.5
48,USA,United States,North America,High,29-11-2015,2015,11,48,37.09,-95.71,331,-4.43,-0.1,50.9,0,0,0,0,0,95,47.7,33,10.5,24.1,0,82.7,64686,64.5,100,2.442347035,-0.5,0.866025404,0,0,0,48.4
49,USA,United States,North America,High,06-12-2015,2015,12,49,37.09,-95.71,331,-0.54,0.01,69.3,0,0,0,0,42.5,55,57.3,29.9,3.4,14.9,0,74.5,64792,68.7,100,1.481604541,-2.45E-16,1,0,14067.5,0,51.96666667
50,USA,United States,North America,High,13-12-2015,2015,12,50,37.09,-95.71,331,2.51,0.64,5.6,0,0,0,0,66.1,95,68.3,35.9,7.5,11.9,0,80.2,64792,69.7,100,2.140066163,-2.45E-16,1,0,21879.1,0,57.96666667
51,USA,United States,North America,High,20-12-2015,2015,12,51,37.09,-95.71,331,1.08,0.03,51.3,0,0,0,0,31.5,49,58.2,32.7,1.8,16.7,0,83.2,64792,74.1,95,1.029619417,-2.45E-16,1,0,10426.5,0,55
52,USA,United States,North America,High,27-12-2015,2015,12,52,37.09,-95.71,331,2.72,0.84,47,0,0,0,0,34.2,37,43.6,43,1.3,14.4,6.5,78.3,64792,61.2,100,0.832909123,-2.45E-16,1,0,11320.2,0,49.26666667
53,USA,United States,North America,High,03-01-2016,2016,1,53,37.09,-95.71,331,5.67,-1.06,29.5,0,0,0,0,40.5,53,66.1,24.5,8.3,19.1,6.6,83.4,64898,68.2,99.5,2.2300144,0.5,0.866025404,0,13405.5,0,52.93333333
54,USA,United States,North America,High,10-01-2016,2016,1,1,37.09,-95.71,331,0.72,-0.65,109.1,0,0,0,0,42.4,61,62.9,28.5,3.4,14.6,0,77.4,64898,65.1,100,1.481604541,0.5,0.866025404,0,14034.4,0,52.16666667
55,USA,United States,North America,High,17-01-2016,2016,1,2,37.09,-95.71,331,7.13,0.26,99.2,0,0,0,0,64.7,122,79.6,22.1,1.2,15.4,8.9,83.1,64898,72.6,96.1,0.78845736,0.5,0.866025404,0,21415.7,0,58.1
56,USA,United States,North America,High,24-01-2016,2016,1,3,37.09,-95.71,331,4.47,-0.28,53.9,0,0,0,0,26.1,19,48.1,33.8,2.2,31.7,5.9,84.6,64898,70.9,95.5,1.16315081,0.5,0.866025404,0,8639.1,0,50.93333333
57,USA,United States,North America,High,31-01-2016,2016,1,4,37.09,-95.71,331,5.69,0.08,177.1,0,0,0,0,22.2,28,59.1,31.3,4,28.4,5.6,84,64898,62.2,97.7,1.609437912,0.5,0.866025404,0,7348.2,0,50.86666667
58,USA,United States,North America,High,07-02-2016,2016,2,5,37.09,-95.71,331,8.7,-0.52,132.2,0,0,0,0,15.4,19,53.9,30.5,5.5,11.8,13.8,85.7,65004,73.1,100,1.871802177,0.866025404,0.5,0,5097.4,0,52.5
59,USA,United States,North America,High,14-02-2016,2016,2,6,37.09,-95.71,331,10.03,0.25,105.9,0,0,0,0,0,12,51.3,33.5,4.4,24.1,14.2,78.3,65004,67.7,100,1.686398954,0.866025404,0.5,0,0,0,50.83333333
60,USA,United States,North America,High,21-02-2016,2016,2,7,37.09,-95.71,331,10.01,-0.5,149.5,1,0,0,1,40.4,32,57.6,34.2,7.6,19.9,15.8,82.6,65004,72.4,100,2.151762203,0.866025404,0.5,10.01,13372.4,1,54.73333333
61,USA,United States,North America,High,28-02-2016,2016,2,8,37.09,-95.71,331,12.01,-0.32,98.7,1,0,0,1,0,95,34.4,25.5,7.4,17,22.5,76.7,65004,64.5,94.5,2.128231706,0.866025404,0.5,12.01,0,1,41.46666667
62,USA,United States,North America,High,06-03-2016,2016,3,9,37.09,-95.71,331,7.61,-0.51,136.8,0,0,0,0,28.5,30,81.6,24.1,8.5,26.6,1.9,80.7,65109,70.4,97.2,2.251291799,1,6.12E-17,0,9433.5,0,58.7
63,USA,United States,North America,High,13-03-2016,2016,3,10,37.09,-95.71,331,11.49,-0.29,103.2,4,0,0,4,35.2,74,62.8,30.4,6.4,15.7,52.7,87.1,65109,69,92.2,2.00148,1,6.12E-17,45.96,11651.2,1,54.06666667
64,USA,United States,North America,High,20-03-2016,2016,3,11,37.09,-95.71,331,14.21,-0.28,107.6,3,0,0,3,54.9,113,70.7,29.1,0.9,14.8,46.8,83.2,65109,77.5,97.2,0.641853886,1,6.12E-17,42.63,18171.9,1,59.1
65,USA,United States,North America,High,27-03-2016,2016,3,12,37.09,-95.71,331,10.72,0.62,195.7,1,0,0,1,7.6,95,58.9,35.8,5.9,23.2,26,84,65109,71.5,100,1.931521412,1,6.12E-17,10.72,2515.6,1,55.4
66,USA,United States,North America,High,03-04-2016,2016,4,13,37.09,-95.71,331,12.48,0.53,165.9,1,0,0,1,22.6,36,70.9,30.1,6.1,16.5,27.6,82.6,65215,75.9,100,1.960094784,0.866025404,-0.5,12.48,7480.6,1,58.96666667
67,USA,United States,North America,High,10-04-2016,2016,4,14,37.09,-95.71,331,7.94,0.4,138.8,1,0,0,1,86.3,133,93.7,33,5.8,21.5,19.3,85.7,65215,67.3,100,1.916922612,0.866025404,-0.5,7.94,28565.3,1,64.66666667
68,USA,United States,North America,High,17-04-2016,2016,4,15,37.09,-95.71,331,8.39,0.09,97.3,0,0,0,0,28.5,45,62.2,27.8,4.6,8.3,14.9,81.3,65215,75.4,91.2,1.722766598,0.866025404,-0.5,0,9433.5,0,55.13333333
69,USA,United States,North America,High,24-04-2016,2016,4,16,37.09,-95.71,331,7.65,-0.06,136.2,0,0,0,0,57.5,103,80.3,28.6,1.6,17.9,13,85.2,65215,63.9,100,0.955511445,0.866025404,-0.5,0,19032.5,0,57.6
70,USA,United States,North America,High,01-05-2016,2016,5,17,37.09,-95.71,331,9.27,-0.33,94.5,0,0,0,0,9.8,36,52.1,34,6,20.8,15.9,86.5,65321,72.2,100,1.945910149,0.5,-0.866025404,0,3243.8,0,52.76666667
71,USA,United States,North America,High,08-05-2016,2016,5,18,37.09,-95.71,331,9.54,0.38,109.2,0,0,0,0,74.2,117,64.7,25.1,4.1,14.8,13.5,80.6,65321,62,100,1.62924054,0.5,-0.866025404,0,24560.2,0,50.6
72,USA,United States,North America,High,15-05-2016,2016,5,19,37.09,-95.71,331,10.51,-0.11,107.9,0,0,0,0,27.1,4,42.3,33.3,7.4,20.6,10.7,79,65321,69.8,99.7,2.128231706,0.5,-0.866025404,0,8970.1,0,48.46666667
73,USA,United States,North America,High,22-05-2016,2016,5,20,37.09,-95.71,331,10.81,0.47,98.5,0,0,0,0,41,48,62.7,31,4.7,17.6,12.5,85.5,65321,71,94.4,1.740466175,0.5,-0.866025404,0,13571,0,54.9
74,USA,United States,North America,High,29-05-2016,2016,5,21,37.09,-95.71,331,8.27,-0.22,87.9,0,0,0,0,77.4,130,73.8,25.7,7.1,20.5,15.5,80.9,65321,73.2,100,2.091864062,0.5,-0.866025404,0,25619.4,0,57.56666667
75,USA,United States,North America,High,05-06-2016,2016,6,22,37.09,-95.71,331,8.81,0.13,159.3,0,0,0,0,10.9,7,48.4,29,6.3,21.1,9.3,87.7,65427,69.9,100,1.987874348,1.22E-16,-1,0,3607.9,0,49.1
76,USA,United States,North America,High,12-06-2016,2016,6,23,37.09,-95.71,331,6.15,0.05,96.1,0,0,0,0,56.1,69,64.3,21.9,6.2,21.7,4.4,78.1,65427,77.9,93.6,1.974081026,1.22E-16,-1,0,18569.1,0,54.7
77,USA,United States,North America,High,19-06-2016,2016,6,24,37.09,-95.71,331,4.8,0.55,138.4,0,0,0,0,20.9,47,55.9,31.9,7.7,21.8,0,80.6,65427,77.4,100,2.163323026,1.22E-16,-1,0,6917.9,0,55.06666667
78,USA,United States,North America,High,26-06-2016,2016,6,25,37.09,-95.71,331,4.19,0.28,90.9,0,0,0,0,28.1,32,58.2,37.2,6.6,16.6,6.7,77.3,65427,55.8,100,2.028148247,1.22E-16,-1,0,9301.1,0,50.4
79,USA,United States,North America,High,03-07-2016,2016,7,26,37.09,-95.71,331,1.71,-0.53,39.4,0,0,0,0,81.1,115,77.8,27.1,6.4,18.9,0,77.8,65533,75,97.3,2.00148,-0.5,-0.866025404,0,26844.1,0,59.96666667
80,USA,United States,North America,High,10-07-2016,2016,7,27,37.09,-95.71,331,0.62,0.78,99,0,0,0,0,31.5,42,56.2,44.3,6.1,20.7,0.9,81.9,65533,71.2,98.5,1.960094784,-0.5,-0.866025404,0,10426.5,0,57.23333333
81,USA,United States,North America,High,17-07-2016,2016,7,28,37.09,-95.71,331,0.39,0.01,90.6,0,0,0,0,43.2,76,62.1,30.5,0,23.1,0,88.8,65533,75,85.3,0,-0.5,-0.866025404,0,14299.2,0,55.86666667
82,USA,United States,North America,High,24-07-2016,2016,7,29,37.09,-95.71,331,-0.65,0.59,33.1,0,0,0,0,68.7,87,64.4,42.5,4.4,19.6,0,83.6,65533,72.5,100,1.686398954,-0.5,-0.866025404,0,22739.7,0,59.8
83,USA,United States,North America,High,31-07-2016,2016,7,30,37.09,-95.71,331,3.57,0,66,0,0,0,0,73.1,126,83.8,33.2,1.6,26.7,0,82.3,65533,71.5,96,0.955511445,-0.5,-0.866025404,0,24196.1,0,62.83333333
84,USA,United States,North America,High,07-08-2016,2016,8,31,37.09,-95.71,331,-1.38,0.19,68.6,0,0,0,0,86.6,137,73.5,35.8,8.6,12.4,0,86.6,65639,73.5,98.3,2.261763098,-0.866025404,-0.5,0,28664.6,0,60.93333333
85,USA,United States,North America,High,14-08-2016,2016,8,32,37.09,-95.71,331,-3.07,0.1,47.1,0,0,0,0,51,60,50.9,38.5,2.5,13.5,0,87.4,65639,66.8,93.1,1.252762968,-0.866025404,-0.5,0,16881,0,52.06666667
86,USA,United States,North America,High,21-08-2016,2016,8,33,37.09,-95.71,331,-1.4,-0.31,116.6,0,0,0,0,61.2,87,43.4,39.9,0.8,10.3,0,84.2,65639,82.2,100,0.587786665,-0.866025404,-0.5,0,20257.2,0,55.16666667
87,USA,United States,North America,High,28-08-2016,2016,8,34,37.09,-95.71,331,-2.79,0.46,69,0,0,0,0,53.2,81,65.3,28.5,4.2,10,0,83,65639,65.1,94.2,1.648658626,-0.866025404,-0.5,0,17609.2,0,52.96666667
88,USA,United States,North America,High,04-09-2016,2016,9,35,37.09,-95.71,331,-1.66,0.49,0,0,0,0,0,44.9,44,62.1,31.7,2.1,21.3,0.4,79.7,65745,71.1,100,1.131402111,-1,-1.84E-16,0,14861.9,0,54.96666667
89,USA,United States,North America,High,11-09-2016,2016,9,36,37.09,-95.71,331,-2.01,0,24.7,0,0,0,0,56.7,87,72.4,30.2,5.1,15,0,78.8,65745,63,100,1.808288771,-1,-1.84E-16,0,18767.7,0,55.2
90,USA,United States,North America,High,18-09-2016,2016,9,37,37.09,-95.71,331,-6.44,-0.32,67.7,0,0,0,0,39.1,77,55,29.8,2.5,29.2,0,83.7,65745,71.5,100,1.252762968,-1,-1.84E-16,0,12942.1,0,52.1
91,USA,United States,North America,High,25-09-2016,2016,9,38,37.09,-95.71,331,-5.56,-0.03,41.4,0,0,0,0,48,87,86.5,27.1,0.9,18.1,0,87.5,65745,66,100,0.641853886,-1,-1.84E-16,0,15888,0,59.86666667
92,USA,United States,North America,High,02-10-2016,2016,10,39,37.09,-95.71,331,-6.32,0.32,88.9,0,0,0,0,32.7,46,54,26.5,3.1,12.4,0,77.8,65851,66.2,100,1.410986974,-0.866025404,0.5,0,10823.7,0,48.9
93,USA,United States,North America,High,09-10-2016,2016,10,40,37.09,-95.71,331,-4.45,0.45,0,0,0,0,0,69.4,114,90.3,31,10.2,19,0,79.7,65851,65,100,2.415913778,-0.866025404,0.5,0,22971.4,0,62.1
94,USA,United States,North America,High,16-10-2016,2016,10,41,37.09,-95.71,331,-4.74,0.83,32.4,0,0,0,0,86.4,111,70.6,27.1,5.2,22.4,0,83.2,65851,76.1,96,1.824549292,-0.866025404,0.5,0,28598.4,0,57.93333333
95,USA,United States,North America,High,23-10-2016,2016,10,42,37.09,-95.71,331,-5.64,0.22,58.3,0,0,0,0,62.9,78,60,27.6,4.3,18.9,0,89,65851,65.8,91.7,1.667706821,-0.866025404,0.5,0,20819.9,0,51.13333333
96,USA,United States,North America,High,30-10-2016,2016,10,43,37.09,-95.71,331,-6.42,0.45,46.2,0,0,0,0,57,86,63.3,34.6,3.7,24.3,0,81.8,65851,73,97.2,1.547562509,-0.866025404,0.5,0,18867,0,56.96666667
97,USA,United States,North America,High,06-11-2016,2016,11,44,37.09,-95.71,331,-6,-0.14,16.8,0,0,0,0,89.5,150,81.6,29.2,7.5,25.5,0,79.3,65956,70.1,93.2,2.140066163,-0.5,0.866025404,0,29624.5,0,60.3
98,USA,United States,North America,High,13-11-2016,2016,11,45,37.09,-95.71,331,-3.62,-0.27,45.4,0,0,0,0,52.3,86,65,31.1,5.2,8.6,0,84.3,65956,69.3,93.7,1.824549292,-0.5,0.866025404,0,17311.3,0,55.13333333
99,USA,United States,North America,High,20-11-2016,2016,11,46,37.09,-95.71,331,0.76,0.65,48.2,0,0,0,0,87.6,134,72.9,30.2,4.1,16.6,0,83.8,65956,70.8,99.8,1.62924054,-0.5,0.866025404,0,28995.6,0,57.96666667
100,USA,United States,North America,High,27-11-2016,2016,11,47,37.09,-95.71,331,0.86,0.51,13.9,0,0,0,0,31.1,44,58,37.5,3.5,12.6,2.3,84.8,65956,68.4,100,1.504077397,-0.5,0.866025404,0,10294.1,0,54.63333333
101,USA,United States,North America,High,04-12-2016,2016,12,48,37.09,-95.71,331,-0.74,-0.05,50.9,0,0,0,0,49.4,87,56.9,30.3,1.6,13.5,0,78.9,66062,60.2,100,0.955511445,-2.45E-16,1,0,16351.4,0,49.13333333
102,USA,United States,North America,High,11-12-2016,2016,12,49,37.09,-95.71,331,0.14,0.62,41.3,0,0,0,0,0,95,41.3,21.7,5.9,19.5,0.5,81.3,66062,64.4,91.8,1.931521412,-2.45E-16,1,0,0,0,42.46666667
103,USA,United States,North America,High,18-12-2016,2016,12,50,37.09,-95.71,331,0.97,0.5,114.1,0,0,0,0,67.5,105,78.3,29.3,5.5,12.5,0,81.8,66062,70.4,100,1.871802177,-2.45E-16,1,0,22342.5,0,59.33333333
104,USA,United States,North America,High,25-12-2016,2016,12,51,37.09,-95.71,331,2.28,0.16,62.9,0,0,0,0,27.4,61,48.4,24.2,7,24.3,0,80.4,66062,67.8,100,2.079441542,-2.45E-16,1,0,9069.4,0,46.8
105,USA,United States,North America,High,01-01-2017,2017,1,52,37.09,-95.71,331,1.36,0.48,98.9,0,0,0,0,73,91,66.9,33.8,2.2,21.7,3.4,86.9,66168,67.1,99.9,1.16315081,0.5,0.866025404,0,24163,0,55.93333333
106,USA,United States,North America,High,08-01-2017,2017,1,1,37.09,-95.71,331,7.48,0.41,103.3,0,0,0,0,18,32,61,31,3.2,12.1,0.8,82.9,66168,60.3,100,1.435084525,0.5,0.866025404,0,5958,0,50.76666667
