country,year,co2_production,gni_per_capita,hdi,life_expectancy
Tanzania (United Republic of),1990,0.083808641,1343.355022,0.371,51.4849
Uganda,1990,0.043841928,897.0248379,0.329,46.4426
Ukraine,1990,13.71526261,16779.60025,0.729,69.8024
Uruguay,1990,1.275822847,10699.72084,0.701,73.1617
United States,1990,20.28180403,39472.3021,0.872,75.3699
Uzbekistan,1990,5.074714874,3472.614754,0.6734545454545454,65.3456
Saint Vincent and the Grenadines,1990,0.749953481,6185.527922,0.7350454545454546,72.3797
Venezuela (Bolivarian Republic of),1990,6.205117848,16424.636,0.659,71.5319
Viet Nam,1990,0.313266017,1579.561078,0.482,69.2127
Vanuatu,1990,0.449960088,2796.691933,0.5947058823529412,66.6747
Samoa,1990,0.540137467,9488.932003999998,0.6992222222222222,67.6584
Yemen,1990,0.812997924,2730.788444,0.383,58.6994
South Africa,1990,8.504575304,10900.72606,0.632,63.3753
Zambia,1990,0.299508078,2015.484747,0.412,47.9263
Zimbabwe,1990,1.490699043,2660.896738,0.509,59.4264
Afghanistan,1991,0.182524769,2276.289409,0.279,46.6631
Angola,1991,0.413433009,5405.349257,0.5035217391304347,43.8127
Albania,1991,1.288960628,3358.087827,0.629,73.3776
Andorra,1991,7.176510032,43175.1476,0.8515,77.9805
United Arab Emirates,1991,29.25602676,96250.29036,0.739,72.2414
Argentina,1991,3.552274857,14803.99888,0.73,72.319
Armenia,1991,2.079247804,4633.9383,0.649,68.6431
Antigua and Barbuda,1991,3.353638329,14154.41386,0.7925333333333334,73.4354
Australia,1991,16.39813628,28846.41579,0.867,77.4831
Austria,1991,8.457574786,39777.96789,0.829,75.7931
Azerbaijan,1991,6.799993694,7492.116393,0.6898888888888889,62.0524
Burundi,1991,0.042796616,1169.362419,0.292,44.2265
Belgium,1991,12.2893646,38013.54744,0.819,76.1962
Benin,1991,0.142388609,2158.402859,0.364,53.6238
Burkina Faso,1991,0.069230297,1078.192223,0.3729130434782609,49.4502
Bangladesh,1991,0.139603427,1571.95081,0.394,54.1544
Bulgaria,1991,7.016916507,10800.27353,0.684,71.2267
Bahrain,1991,23.25918079,40541.1388,0.743,72.7642
Bahamas,1991,7.650723349,34188.60611,0.808074074074074,69.6157
Bosnia and Herzegovina,1991,3.120234526,9488.932003999998,0.7297727272727272,72.0887
Belarus,1991,9.524882743,8784.014627,0.7642222222222222,69.7159
Belize,1991,2.127893349,5186.014425,0.6,70.2484
Bolivia (Plurinational State of),1991,0.851806323,4514.77491,0.56,57.0973
Brazil,1991,1.512673978,10211.33142,0.616,66.3096
Barbados,1991,4.589450373,13051.74314,0.727,72.843
Brunei Darussalam,1991,19.9297547,71643.86864,0.775,71.8711
Bhutan,1991,0.328169657,2599.593118,0.6306666666666666,56.642
Botswana,1991,1.986244668,8911.463617,0.588,59.4734
Central African Republic,1991,0.066190517,1288.378061,0.333,49.2516
Canada,1991,16.12471812,31151.3392,0.864,77.5917
Switzerland,1991,6.866108196,58052.23823,0.853,77.648
Chile,1991,2.29339076,10021.48402,0.715,73.5741
China,1991,2.184677788,1581.297549,0.492,68.1688
CÃ´te d'Ivoire,1991,0.348548628,2680.047088,0.428,52.323
Cameroon,1991,0.219840117,2988.267429,0.449,54.6577
Congo (Democratic Republic of the),1991,0.08723902,1495.463703,0.384,48.9478
Congo,1991,0.447012247,4406.928262,0.519,55.2431
Colombia,1991,1.678225441,7978.104071,0.619,68.8127
Comoros,1991,0.155594142,2807.815268,0.5187272727272728,56.1941
Cabo Verde,1991,0.28572914,2808.119044,0.6371818181818182,65.1762
Costa Rica,1991,1.026799726,9651.643494,0.663,76.5905
Cuba,1991,2.545565474,4686.090473,0.674,74.093
Cyprus,1991,6.564988431,24640.40307,0.719,73.7158
Czechia,1991,14.39067228,19864.26332,0.742,71.9702
Germany,1991,12.75901178,37705.49942,0.835,75.5759
Djibouti,1991,0.470944757,1817.869917,0.43300000000000005,55.1564
Dominica,1991,0.833034928,8532.133123,0.7066363636363637,69.6458
Denmark,1991,12.45195841,36333.6256,0.838,75.2256
Dominican Republic,1991,1.311934446,5917.782034,0.583,67.6254
Algeria,1991,2.9850519,8094.818491,0.594,67.6875
Ecuador,1991,1.542825359,7900.167909,0.652,69.6253
Egypt,1991,1.346041046,6057.706852,0.578,64.7553
Eritrea,1991,4.567279106874533,975.85779,0.4708,50.6074
Spain,1991,6.130736238,27389.70698,0.764,77.1299
Estonia,1991,21.8465863,13019.00531,0.729,69.712
Ethiopia,1991,0.059635191,683.3588842,0.4077727272727273,46.1304
Finland,1991,11.00398974,32163.27132,0.818,75.4071
Fiji,1991,0.900678677,8462.841698,0.647,65.6434
France,1991,7.329248111,34031.95186,0.799,77.0143
Micronesia (Federated States of),1991,4.567279106874533,3564.224037,0.6151818181818182,67.619
Gabon,1991,4.633919632,17391.74323,0.615,60.3968
United Kingdom,1991,10.620043,30605.64788,0.809,75.9098
Georgia,1991,2.953570713,8447.653745,0.7622272727272729,68.2447
Ghana,1991,0.276793478,2422.708492,0.466,56.0118
Guinea,1991,0.156986928,1399.276669,0.274,47.5456
Gambia,1991,0.199320421,2216.34454,0.35,52.1265
Guinea-Bissau,1991,0.176306888,1664.252165,0.45623529411764707,47.4654
Equatorial Guinea,1991,0.152365815,3549.052859,0.5762272727272727,50.9695
Greece,1991,8.085335421,25174.74986,0.769,77.3694
Grenada,1991,1.139539706,8494.559802,0.7784500000000001,70.9738
Guatemala,1991,0.522087845,5550.418019,0.488,62.7252
Guyana,1991,1.486284276,1821.360115,0.505,62.6219
"Hong Kong, China (SAR)",1991,4.907399729,28616.7525,0.794,77.6981
Honduras,1991,0.478289002,3517.44538,0.517,65.7522
Croatia,1991,3.568527163,9488.932003999998,0.8049259259259259,70.4879
Haiti,1991,0.135979028,3525.466534,0.433,53.3907
Hungary,1991,6.72159323,15902.7879,0.715,69.4407
Indonesia,1991,0.978488748,4507.435038,0.532,63.5371
India,1991,0.691061836,1768.858819,0.437,59.0547
Ireland,1991,9.572562832,23894.07301,0.743,75.031
Iran (Islamic Republic of),1991,3.918423807,9496.163999,0.62,66.4589
Iraq,1991,2.525811429,2393.855928,0.496,62.519
Iceland,1991,8.175092383,31478.09325,0.822,77.8361
Israel,1991,7.876688002,21725.05731,0.793,77.0002
Italy,1991,7.691513643,36665.00975,0.783,76.9891
Jamaica,1991,3.177506647,8467.927768,0.662,72.1862
Jordan,1991,2.633668537,7079.469112,0.625,70.0929
Japan,1991,9.362795443,36649.80697,0.849,79.2519
Kazakhstan,1991,16.59377157,12209.83565,0.668,64.4876
Kenya,1991,0.192033971,3369.514501,0.474,58.0052
Kyrgyzstan,1991,3.620690162,4678.506292,0.632,64.2799
Cambodia,1991,0.140419638,1041.390007,0.383,55.7927
Kiribati,1991,0.298322749,1831.138665,0.599409090909091,61.4222
Saint Kitts and Nevis,1991,2.631565913,15573.09808,0.7671764705882352,66.1495
Korea (Republic of),1991,6.355464006,13865.72172,0.747,72.4207
Kuwait,1991,7.343292164,28103.38148,0.68,74.2164
Lao People's Democratic Republic,1991,0.124665581,1971.628855,0.412,54.4604
Lebanon,1991,2.777555305,10999.15835,0.7487058823529412,71.1761
Liberia,1991,0.181791535,1593.527109,0.45734782608695645,42.795
Libya,1991,9.378857904,16347.65461,0.677,69.8204
Saint Lucia,1991,1.334761956,10403.95061,0.691,70.6019
Liechtenstein,1991,7.076031414,90463.72151,0.9139545454545455,76.5068
Sri Lanka,1991,0.235986767,3982.342083,0.641,71.7512
Lesotho,1991,0.876823991,2288.9999,0.478,59.1931
Lithuania,1991,10.23676543,14515.93603,0.729,70.5662
Luxembourg,1991,32.20664058,64704.86147,0.796,75.8332
Latvia,1991,6.764176747,15796.81227,0.727,69.1698
Morocco,1991,0.93776014,3893.979178,0.453,62.9464
Monaco,1991,4.567279106874533,9488.932003999998,0.6685235231455086,76.3011
Moldova (Republic of),1991,6.772722597,11727.66076,0.644,66.9771
Madagascar,1991,0.084586395,1608.480191,0.48373913043478267,52.3566
Maldives,1991,0.669812101,8558.033905,0.6771851851851851,64.3044
Mexico,1991,3.860637043,14895.23039,0.664,70.2977
Marshall Islands,1991,4.567279106874533,3794.526435,0.636,62.2817
North Macedonia,1991,5.034360072,9488.932003999998,0.7189629629629629,71.8149
Mali,1991,0.049318357,1548.880292,0.245,47.2164
Malta,1991,6.179144224,20114.01522,0.733,75.4583
Myanmar,1991,0.098767738,552.3778784,0.343,57.0135
Montenegro,1991,2.200589856,9488.932003999998,0.8064210526315789,75.5333
Mongolia,1991,5.465037691,4322.102478,0.575,59.2369
Mozambique,1991,0.071187554,468.5158907,0.24,44.6596
Mauritania,1991,0.415903544,4396.640843,0.402,59.9361
Mauritius,1991,1.423197768,8418.285722,0.633,70.0994
Malawi,1991,0.081862598,992.2126989,0.309,43.3124
Malaysia,1991,3.552123314,10511.93791,0.648,71.4417
Namibia,1991,0.714717269,6450.36875,0.585,62.0982
Niger,1991,0.068622051,1092.113414,0.218,42.2176
Nigeria,1991,0.429304972,3006.696926,0.49994736842105264,45.6908
Nicaragua,1991,0.465440738,2951.069028,0.5,63.9307
Netherlands,1991,11.29988286,37055.36933,0.852,77.1564
Norway,1991,7.85577417,36663.79655,0.845,77.0382
Nepal,1991,0.052887057,1631.574714,0.408,55.7116
Nauru,1991,12.75911512,9488.932003999998,0.6685235231455086,61.3031
New Zealand,1991,7.641178468,21947.02339,0.811,76.0788
Oman,1991,6.122608472,30816.75253,0.7835454545454545,70.189
Pakistan,1991,0.609116479,2897.623598,0.404,60.2594
Panama,1991,1.230422041,10835.33289,0.672,71.2068
Peru,1991,0.921656674,5137.237402,0.625,65.4342
Philippines,1991,0.685084652,4066.710963,0.599,66.304
Palau,1991,4.567279106874533,14485.6921,0.7684545454545456,61.8904
Papua New Guinea,1991,0.459015644,2192.196024,0.38,59.9078
Poland,1991,9.816149212,10122.21177,0.713,70.3777
Korea (Democratic People's Rep. of),1991,5.68811426,9488.932003999998,0.6685235231455086,70.3125
Portugal,1991,4.75512979,23854.19104,0.711,74.2401
Paraguay,1991,0.485286704,8132.944682,0.6,68.1729
"Palestine, State of",1991,0.403021084,3836.020991,0.6952777777777778,68.3056
Qatar,1991,35.66306148,57427.10285,0.754,73.966
Romania,1991,5.977146603,11711.86444,0.689,69.8842
Russian Federation,1991,16.19105645,20289.24743,0.741,68.4246
Rwanda,1991,0.066649398,935.0494069,0.43851851851851853,46.519
Saudi Arabia,1991,17.20328887,47014.58721,0.688,69.3658
Sudan,1991,0.213795688,2692.842422,0.342,50.2129
Senegal,1991,0.435716813,2405.066686,0.374,57.1389
Singapore,1991,14.26423836,39286.23565,0.737,75.3289
Solomon Islands,1991,0.49114658,2283.471505,0.5357391304347826,65.5793
Sierra Leone,1991,0.133967705,1666.299127,0.305,43.5063
El Salvador,1991,0.590524724,5172.174624,0.536,63.8556
San Marino,1991,4.567279106874533,53083.31198,0.855,78.8539
Somalia,1991,0.0972762,1711.810079,0.6685235231455086,26.5647
Serbia,1991,4.021280267,9488.932003999998,0.7485555555555555,70.7056
South Sudan,1991,0.074982874,9488.932003999998,0.40408333333333335,30.1479
Sao Tome and Principe,1991,0.39056709,2311.803654,0.484,61.4289
Suriname,1991,4.898487912,12264.19057,0.7250555555555556,64.4532
Slovakia,1991,10.03572078,13948.28593,0.69,70.9224
Slovenia,1991,6.95403358,9488.932003999998,0.8674814814814815,73.2782
Sweden,1991,6.695882048,34566.50857,0.813,77.7281
Eswatini (Kingdom of),1991,1.031663405,5362.278284,0.543,62.6853
Seychelles,1991,2.410689288,14576.98476,0.7738636363636363,68.9347
Syrian Arab Republic,1991,3.292975382,4389.608775,0.567,70.0357
Chad,1991,0.062484175,1051.395878,0.35804545454545456,45.9412
Togo,1991,0.271758264,1699.800453,0.414,54.2682
Thailand,1991,1.690437412,7394.923747,0.585,70.7168
Tajikistan,1991,1.808585295,4802.050701,0.622,61.3789
Turkmenistan,1991,8.634284153,9900.154534,0.7191176470588235,64.0346
Timor-Leste,1991,4.567279106874533,3037.49405,0.5925499999999999,44.9849
Tonga,1991,1.000188984,4779.933042,0.652,67.5176
Trinidad and Tobago,1991,13.80535236,10649.47368,0.665,68.8595
Tunisia,1991,1.822966384,5707.121006,0.581,70.5211
TÃ¼rkiye,1991,2.880749459,12853.99247,0.604,68.1689
Tuvalu,1991,0.8118768,3271.029222,0.562,61.9086
Tanzania (United Republic of),1991,0.086553906,1332.109001,0.371,51.3058
Uganda,1991,0.04343491,916.1925994,0.331,46.3156
Ukraine,1991,12.29150705,15250.3303,0.723,69.073
Uruguay,1991,1.445782748,11130.23386,0.705,73.3051
United States,1991,19.87091781,38997.77919,0.873,75.5227
Uzbekistan,1991,4.928002904,3375.031431,0.6734545454545454,65.1307
Saint Vincent and the Grenadines,1991,0.781918052,6184.505565,0.7350454545454546,72.9368
Venezuela (Bolivarian Republic of),1991,5.725039071,17598.569,0.669,71.8318
Viet Nam,1991,0.307840404,1656.983675,0.493,69.849
Vanuatu,1991,0.437591231,2648.554526,0.5947058823529412,67.2031
Samoa,1991,0.580888675,9488.932003999998,0.6992222222222222,67.8814
Yemen,1991,0.741936921,2574.032279,0.386,59.049
South Africa,1991,8.644702464,10629.93501,0.641,63.2649
Zambia,1991,0.288820099,1865.878534,0.408,47.0971
Zimbabwe,1991,1.451316099,2742.056651,0.512,58.0911
Afghanistan,1992,0.095232862,2059.868084,0.287,47.5955
Angola,1992,0.40801538,2073.90239,0.5035217391304347,42.2088
Albania,1992,0.768726936,3080.746654,0.614,73.7148
Andorra,1992,6.906330662,41935.7872,0.8515,80.3241
United Arab Emirates,1992,28.13451859,93043.47737,0.742,72.3062
Argentina,1992,3.615658722,15940.72602,0.735,72.4295
Armenia,1992,1.702936868,2741.695896,0.618,68.6266
Antigua and Barbuda,1992,3.239440989,14185.23142,0.7925333333333334,73.4168
Australia,1992,16.45381873,30007.87767,0.869,77.4765
Austria,1992,7.69212302,40438.79593,0.835,75.9931
Azerbaijan,1992,7.518061608,5710.440705,0.6898888888888889,61.2956
Burundi,1992,0.038022606,1161.764398,0.289,43.8951
Belgium,1992,12.15555391,38437.90313,0.835,76.3554
Benin,1992,0.147828042,2103.089444,0.369,54.089
Burkina Faso,1992,0.067785559,1051.290435,0.3729130434782609,49.4373
Bangladesh,1992,0.142427972,1624.95314,0.413,57.6352
Bulgaria,1992,6.611653689,10936.07291,0.686,71.215
Bahrain,1992,20.78740398,44961.34704,0.749,72.953
Bahamas,1992,7.024046251,33169.54419,0.808074074074074,70.6679
Bosnia and Herzegovina,1992,3.549799276,9488.932003999998,0.7297727272727272,51.7847
Belarus,1992,8.750825017,7923.32316,0.7642222222222222,69.3996
Belize,1992,1.828955765,5673.896736,0.608,69.9793
Bolivia (Plurinational State of),1992,0.924559973,4546.299023,0.568,57.6287
Brazil,1992,1.514339031,10017.57126,0.622,66.7082
Barbados,1992,3.702897834,12132.63022,0.727,72.9152
Brunei Darussalam,1992,19.02282652,72948.56166,0.781,72.0808
Bhutan,1992,0.382981987,2642.240219,0.6306666666666666,57.4231
Botswana,1992,2.03680969,8996.807332,0.586,58.3482
Central African Republic,1992,0.065621667,1237.469001,0.319,48.7932
Canada,1992,16.42269994,30860.22694,0.868,77.8501
Switzerland,1992,6.773065901,57232.92927,0.856,77.9437
Chile,1992,2.330810632,11052.43606,0.723,74.1354
China,1992,2.263000045,1777.646915,0.504,68.7345
CÃ´te d'Ivoire,1992,0.299982337,2616.359432,0.43,52.1382
Cameroon,1992,0.216992697,2843.474659,0.446,54.4809
Congo (Democratic Republic of the),1992,0.075218473,1283.041894,0.38,49.2436
Congo,1992,0.517760985,4511.057681,0.518,54.663
Colombia,1992,1.786464572,8174.492145,0.628,69.0381
Comoros,1992,0.159505829,2987.990558,0.5187272727272728,56.733
Cabo Verde,1992,0.298687025,2815.657419,0.6371818181818182,65.318
Costa Rica,1992,1.138559936,10292.10424,0.674,76.6269
Cuba,1992,1.918066105,4135.772262,0.668,74.1615
Cyprus,1992,6.889613058,26215.73262,0.726,74.1774
Czechia,1992,13.9685607,19751.08901,0.743,72.33
Germany,1992,12.07922889,38540.84607,0.842,76.0187
Djibouti,1992,0.488493693,1876.633523,0.43300000000000005,54.4515
Dominica,1992,0.831027444,8650.469562,0.7066363636363637,70.2817
Denmark,1992,11.28842826,37408.0159,0.841,75.2672
Dominican Republic,1992,1.40627957,6453.482482,0.593,68.0842
